Asset,Horizon,Model,LR_Stat,p_value,CC_Test,N_Obs
sp500,1w,LASSO_AR,286.242,0.0,FAIL,3371
sp500,1w,LASSO_VIX,350.176,0.0,FAIL,3371
sp500,1w,LASSO_CASSI,301.222,0.0,FAIL,3371
sp500,1w,LGB_VIX,414.27,0.0,FAIL,3371
sp500,1w,LGB_CASSI,461.552,0.0,FAIL,3371
sp500,1m,LASSO_AR,639.074,0.0,FAIL,3371
sp500,1m,LASSO_VIX,,,n/a,3371
sp500,1m,LASSO_CASSI,,,n/a,3371
sp500,1m,LGB_VIX,,,n/a,3371
sp500,1m,LGB_CASSI,,,n/a,3371
sp500,3m,LASSO_AR,677.437,0.0,FAIL,3371
sp500,3m,LASSO_VIX,,,n/a,3371
sp500,3m,LASSO_CASSI,,,n/a,3371
sp500,3m,LGB_VIX,,,n/a,3371
sp500,3m,LGB_CASSI,,,n/a,3371
treasury,1w,LASSO_AR,336.49,0.0,FAIL,3371
treasury,1w,LASSO_VIX,,,n/a,3371
treasury,1w,LASSO_CASSI,,,n/a,3371
treasury,1w,LGB_VIX,,,n/a,3371
treasury,1w,LGB_CASSI,,,n/a,3371
treasury,1m,LASSO_AR,722.835,0.0,FAIL,3371
treasury,1m,LASSO_VIX,,,n/a,3371
treasury,1m,LASSO_CASSI,,,n/a,3371
treasury,1m,LGB_VIX,,,n/a,3371
treasury,1m,LGB_CASSI,,,n/a,3371
treasury,3m,LASSO_AR,1001.523,0.0,FAIL,3371
treasury,3m,LASSO_VIX,,,n/a,3371
treasury,3m,LASSO_CASSI,,,n/a,3371
treasury,3m,LGB_VIX,,,n/a,3371
treasury,3m,LGB_CASSI,,,n/a,3371
eurusd,1w,LASSO_AR,290.419,0.0,FAIL,3371
eurusd,1w,LASSO_VIX,255.777,0.0,FAIL,3371
eurusd,1w,LASSO_CASSI,273.112,0.0,FAIL,3371
eurusd,1w,LGB_VIX,307.924,0.0,FAIL,3371
eurusd,1w,LGB_CASSI,342.815,0.0,FAIL,3371
eurusd,1m,LASSO_AR,305.403,0.0,FAIL,3371
eurusd,1m,LASSO_VIX,418.138,0.0,FAIL,3371
eurusd,1m,LASSO_CASSI,593.096,0.0,FAIL,3371
eurusd,1m,LGB_VIX,,,n/a,3371
eurusd,1m,LGB_CASSI,,,n/a,3371
eurusd,3m,LASSO_AR,428.482,0.0,FAIL,3371
eurusd,3m,LASSO_VIX,,,n/a,3371
eurusd,3m,LASSO_CASSI,,,n/a,3371
eurusd,3m,LGB_VIX,,,n/a,3371
eurusd,3m,LGB_CASSI,,,n/a,3371
oil,1w,LASSO_AR,357.106,0.0,FAIL,3371
oil,1w,LASSO_VIX,,,n/a,3371
oil,1w,LASSO_CASSI,,,n/a,3371
oil,1w,LGB_VIX,,,n/a,3371
oil,1w,LGB_CASSI,,,n/a,3371
oil,1m,LASSO_AR,677.352,0.0,FAIL,3371
oil,1m,LASSO_VIX,,,n/a,3371
oil,1m,LASSO_CASSI,,,n/a,3371
oil,1m,LGB_VIX,,,n/a,3371
oil,1m,LGB_CASSI,,,n/a,3371
oil,3m,LASSO_AR,917.59,0.0,FAIL,3371
oil,3m,LASSO_VIX,,,n/a,3371
oil,3m,LASSO_CASSI,,,n/a,3371
oil,3m,LGB_VIX,,,n/a,3371
oil,3m,LGB_CASSI,,,n/a,3371
credit_spread,1w,LASSO_AR,334.066,0.0,FAIL,3371
credit_spread,1w,LASSO_VIX,369.559,0.0,FAIL,3371
credit_spread,1w,LASSO_CASSI,319.022,0.0,FAIL,3371
credit_spread,1w,LGB_VIX,399.094,0.0,FAIL,3371
credit_spread,1w,LGB_CASSI,442.2,0.0,FAIL,3371
credit_spread,1m,LASSO_AR,442.776,0.0,FAIL,3371
credit_spread,1m,LASSO_VIX,563.854,0.0,FAIL,3371
credit_spread,1m,LASSO_CASSI,,,n/a,3371
credit_spread,1m,LGB_VIX,,,n/a,3371
credit_spread,1m,LGB_CASSI,,,n/a,3371
credit_spread,3m,LASSO_AR,635.978,0.0,FAIL,3371
credit_spread,3m,LASSO_VIX,,,n/a,3371
credit_spread,3m,LASSO_CASSI,,,n/a,3371
credit_spread,3m,LGB_VIX,,,n/a,3371
credit_spread,3m,LGB_CASSI,,,n/a,3371
