Asset,Horizon,N_Obs,QL_HAR,Viol_HAR,QL_LGB_VIX,Viol_LGB_VIX,QL_LGB_CASSI,Viol_LGB_CASSI,DM_VIX_vs_HAR_p,DM_VIX_vs_HAR_sig,DM_CASSI_vs_HAR_p,DM_CASSI_vs_HAR_sig,CASSI_imp_over_HAR_%
sp500,1w,3371,0.002823,3.77,0.002951,5.52,0.003016,5.52,0.2415,no,0.0752,no,-6.84
sp500,1m,3371,0.006385,3.83,0.006801,7.53,0.006695,6.97,0.1459,no,0.2376,no,-4.86
sp500,3m,3371,0.010545,2.49,0.009471,7.65,0.009512,7.48,0.0304,YES,0.0531,no,9.8
treasury,1w,3371,0.006094,4.98,0.006708,7.65,0.006735,7.51,0.0397,YES,0.0437,YES,-10.52
treasury,1m,3371,0.01442,4.81,0.01525,8.51,0.015399,8.69,0.1492,no,0.1057,no,-6.79
treasury,3m,3371,0.028223,4.21,0.026942,9.88,0.026732,9.7,0.0579,no,0.0231,YES,5.28
eurusd,1w,3371,0.001351,2.85,0.001291,5.34,0.001283,5.34,0.0258,YES,0.0053,YES,5.04
eurusd,1m,3371,0.002564,1.6,0.002526,6.17,0.002638,6.67,0.6988,no,0.58,no,-2.92
eurusd,3m,3371,0.004659,2.02,0.00418,8.99,0.004382,11.21,0.0208,YES,0.2766,no,5.95
oil,1w,3371,0.008318,4.81,0.008758,6.85,0.00872,6.91,0.3334,no,0.3426,no,-4.83
oil,1m,3371,0.016204,4.48,0.017092,7.12,0.016673,7.51,0.2948,no,0.5712,no,-2.89
oil,3m,3371,0.033215,3.74,0.030389,9.46,0.030129,9.4,0.0074,YES,0.0044,YES,9.29
credit_spread,1w,3371,0.001493,3.38,0.001556,5.37,0.001556,5.19,0.0831,no,0.245,no,-4.19
credit_spread,1m,3371,0.003171,3.0,0.00335,6.23,0.003361,5.87,0.2852,no,0.2676,no,-6.02
credit_spread,3m,3371,0.005407,3.74,0.00457,7.36,0.004625,6.62,0.0003,YES,0.0039,YES,14.46
