Asset,Horizon,Model,In_MCS_90%
sp500,1w,LASSO_AR,YES
sp500,1w,LASSO_VIX,YES
sp500,1w,LASSO_CASSI,YES
sp500,1w,LGB_VIX,no
sp500,1w,LGB_CASSI,no
sp500,1m,LASSO_AR,YES
sp500,1m,LASSO_VIX,YES
sp500,1m,LASSO_CASSI,YES
sp500,1m,LGB_VIX,YES
sp500,1m,LGB_CASSI,YES
sp500,3m,LASSO_AR,YES
sp500,3m,LASSO_VIX,YES
sp500,3m,LASSO_CASSI,YES
sp500,3m,LGB_VIX,YES
sp500,3m,LGB_CASSI,YES
treasury,1w,LASSO_AR,YES
treasury,1w,LASSO_VIX,YES
treasury,1w,LASSO_CASSI,YES
treasury,1w,LGB_VIX,YES
treasury,1w,LGB_CASSI,YES
treasury,1m,LASSO_AR,YES
treasury,1m,LASSO_VIX,YES
treasury,1m,LASSO_CASSI,YES
treasury,1m,LGB_VIX,YES
treasury,1m,LGB_CASSI,YES
treasury,3m,LASSO_AR,no
treasury,3m,LASSO_VIX,no
treasury,3m,LASSO_CASSI,no
treasury,3m,LGB_VIX,YES
treasury,3m,LGB_CASSI,YES
eurusd,1w,LASSO_AR,YES
eurusd,1w,LASSO_VIX,YES
eurusd,1w,LASSO_CASSI,YES
eurusd,1w,LGB_VIX,YES
eurusd,1w,LGB_CASSI,YES
eurusd,1m,LASSO_AR,YES
eurusd,1m,LASSO_VIX,YES
eurusd,1m,LASSO_CASSI,YES
eurusd,1m,LGB_VIX,YES
eurusd,1m,LGB_CASSI,YES
eurusd,3m,LASSO_AR,YES
eurusd,3m,LASSO_VIX,YES
eurusd,3m,LASSO_CASSI,YES
eurusd,3m,LGB_VIX,YES
eurusd,3m,LGB_CASSI,YES
oil,1w,LASSO_AR,YES
oil,1w,LASSO_VIX,YES
oil,1w,LASSO_CASSI,YES
oil,1w,LGB_VIX,YES
oil,1w,LGB_CASSI,YES
oil,1m,LASSO_AR,YES
oil,1m,LASSO_VIX,YES
oil,1m,LASSO_CASSI,YES
oil,1m,LGB_VIX,YES
oil,1m,LGB_CASSI,YES
oil,3m,LASSO_AR,YES
oil,3m,LASSO_VIX,YES
oil,3m,LASSO_CASSI,YES
oil,3m,LGB_VIX,YES
oil,3m,LGB_CASSI,YES
credit_spread,1w,LASSO_AR,YES
credit_spread,1w,LASSO_VIX,YES
credit_spread,1w,LASSO_CASSI,YES
credit_spread,1w,LGB_VIX,YES
credit_spread,1w,LGB_CASSI,YES
credit_spread,1m,LASSO_AR,YES
credit_spread,1m,LASSO_VIX,YES
credit_spread,1m,LASSO_CASSI,no
credit_spread,1m,LGB_VIX,YES
credit_spread,1m,LGB_CASSI,YES
credit_spread,3m,LASSO_AR,no
credit_spread,3m,LASSO_VIX,no
credit_spread,3m,LASSO_CASSI,no
credit_spread,3m,LGB_VIX,YES
credit_spread,3m,LGB_CASSI,YES
