Ann_Return_%,Ann_Vol_%,Sharpe,Max_Drawdown_%,CVaR_5pct_%,Calmar,N_Days,Asset,Strategy
12.55,17.31,0.494,-36.1,-2.69,0.348,3371,sp500,BuyHold
9.81,14.15,0.41,-31.22,-2.18,0.314,3371,sp500,VIX
10.79,13.93,0.488,-31.16,-2.2,0.346,3371,sp500,CASSI
2.74,46.11,-0.027,-94.32,-6.31,0.029,3371,treasury,BuyHold
2.45,33.35,-0.046,-78.13,-4.77,0.031,3371,treasury,VIX
6.88,33.49,0.086,-80.94,-4.62,0.085,3371,treasury,CASSI
-0.52,8.52,-0.531,-29.29,-1.22,-0.018,3371,eurusd,BuyHold
0.02,7.4,-0.538,-21.46,-1.09,0.001,3371,eurusd,VIX
-0.56,7.34,-0.621,-30.9,-1.11,-0.018,3371,eurusd,CASSI
4.91,282.09,0.003,-7808.75,-10.19,0.001,3371,oil,BuyHold
-2.41,89.52,-0.072,-377.24,-6.16,-0.006,3371,oil,VIX
3.46,88.84,-0.006,-495.7,-5.77,0.007,3371,oil,CASSI
5.95,8.52,0.229,-22.54,-1.26,0.264,3371,credit_spread,BuyHold
5.6,6.82,0.235,-11.7,-1.02,0.478,3371,credit_spread,VIX
5.54,6.39,0.241,-11.58,-0.96,0.479,3371,credit_spread,CASSI
